"","rmse","mbe","sdm","sdo","r2","x","y","nrmse"
"res_two_NO2_RLM_group_a",10.49,8.46,5.96,1.97,0,3.16,4.3,5.34
"res_two_NO2_RLM_group_b",7.11,3.77,5.99,2.28,0.03,2.64,1.65,3.12
"res_two_NO2_RLM_group_c",6.27,0.75,6.53,2.56,0.1,2.43,0.29,2.44
"res_two_NO2_RLM_group_d",6.92,-0.82,8.6,5.94,0.37,1.16,-0.14,1.17
"res_two_NO2_RLM_one",7.91,3.25,9.43,10.39,0.55,-0.69,0.31,0.76
