"","rmse","mbe","sdm","sdo","r2","x","y","nrmse"
"res_two_NO_RLM_group_a",4.89,-2.24,4.52,0.55,0.14,7.9,-4.08,8.9
"res_two_NO_RLM_group_b",4.78,-0.71,5.58,2.33,0.3,2.03,-0.3,2.05
"res_two_NO_RLM_group_c",6.4,0.44,8.29,5.1,0.41,1.25,0.09,1.25
"res_two_NO_RLM_group_d",11.78,6.2,32.82,26.97,0.93,0.37,0.23,0.44
"res_two_NO_RLM_one",7.63,1.05,30.75,26.13,0.96,0.29,0.04,0.29
