"","rmse","mbe","sdm","sdo","r2","x","y","nrmse"
"res_one_NO_RLM_group_a",6.5,2.2,6.17,0.58,0.02,10.57,3.81,11.23
"res_one_NO_RLM_group_b",6.92,2.46,6.54,2.36,0.05,2.74,1.04,2.93
"res_one_NO_RLM_group_c",7.76,-1.6,8.62,5.1,0.24,1.49,-0.31,1.52
"res_one_NO_RLM_group_d",10.12,-4.08,29.48,28.18,0.9,0.33,-0.14,0.36
"res_one_NO_RLM_one",7.93,-0.23,25.67,26.78,0.91,-0.3,-0.01,0.3
