"","rmse","mbe","sdm","sdo","r2","x","y","nrmse"
"res_one_NO_RF_group_a",4.83,4,2.7,0.58,0.01,4.69,6.91,8.35
"res_one_NO_RF_group_b",3.82,1.86,3.46,2.36,0.16,1.41,0.79,1.61
"res_one_NO_RF_group_c",6.39,-2.17,7.29,5.1,0.34,1.18,-0.43,1.25
"res_one_NO_RF_group_d",10.44,-4.13,27.17,28.18,0.88,-0.34,-0.15,0.37
"res_one_NO_RF_one",6.84,-0.03,24.36,26.78,0.94,-0.26,0,0.26
