"","rmse","mbe","sdm","sdo","r2","x","y","nrmse"
"res_two_NO_RF_group_a",5.38,4.42,3.01,0.55,0,5.58,8.05,9.79
"res_two_NO_RF_group_b",4.58,2.17,4.38,2.33,0.17,1.73,0.93,1.97
"res_two_NO_RF_group_c",5.83,0.28,7.61,5.1,0.42,1.14,0.05,1.14
"res_two_NO_RF_group_d",7.85,-0.23,26.2,26.97,0.92,-0.29,-0.01,0.29
"res_two_NO_RF_one",6.08,1.52,25.06,26.13,0.95,-0.23,0.06,0.23
