"","rmse","mbe","sdm","sdo","r2","x","y","nrmse"
"res_one_NO2_RLM_group_a",3.77,1.97,3.44,2.09,0.17,1.53,0.94,1.8
"res_one_NO2_RLM_group_b",3.31,0.1,3.82,2.28,0.26,1.45,0.04,1.45
"res_one_NO2_RLM_group_c",4,-0.6,4.71,2.6,0.3,1.52,-0.23,1.54
"res_one_NO2_RLM_group_d",7.38,-2.89,7.95,6.71,0.34,1.01,-0.43,1.1
"res_one_NO2_RLM_one",4.86,-0.31,10.37,11.34,0.82,-0.43,-0.03,0.43
