"","Date[UTC]","RLM","RF","Reference","timestamp","Status"
"1",2019-12-12 14:10:00,26.21,23.53,21.4828,1576159800,0
"2",2019-12-12 14:20:00,23.53,23.22,18.5078,1576160400,0
"3",2019-12-12 14:30:00,24.98,24.29,22.5377,1576161000,0
"4",2019-12-12 14:40:00,25.14,25.51,21.814,1576161600,0
"5",2019-12-12 14:50:00,27.36,27.85,26.3347,1576162200,0
"6",2019-12-12 15:00:00,30.61,29.6,29.2972,1576162800,0
"7",2019-12-12 15:10:00,31.35,31.97,28.5751,1576163400,0
"8",2019-12-12 15:20:00,25.1,26.15,20.1291,1576164000,0
"9",2019-12-12 15:30:00,37.39,35.37,34.6349,1576164600,0
"10",2019-12-12 15:40:00,42.89,38.99,42.0784,1576165200,0
"11",2019-12-12 16:00:00,48.13,41.47,44.9631,1576166400,0
"12",2019-12-12 16:10:00,50.22,43.11,46.5153,1576167000,0
"13",2019-12-12 16:20:00,53.01,45.16,52.3401,1576167600,0
"14",2019-12-12 16:30:00,48.7,42.83,44.1281,1576168200,0
"15",2019-12-12 16:40:00,51.24,43.6,51.3931,1576168800,0
"16",2019-12-12 16:50:00,47.77,41.65,45.5867,1576169400,0
"17",2019-12-12 17:00:00,37.52,35.83,38.733,1576170000,0
"18",2019-12-12 17:10:00,37.53,35.83,35.4452,1576170600,0
"19",2019-12-12 17:20:00,41.03,37.9,34.4466,1576171200,0
"20",2019-12-12 17:30:00,46.25,40.28,46.9129,1576171800,0
"21",2019-12-12 17:40:00,40.26,37.45,37.9262,1576172400,0
"22",2019-12-12 17:50:00,37.59,35.57,36.0355,1576173000,0
"23",2019-12-12 18:00:00,42.91,38.35,41.5516,1576173600,0
"24",2019-12-12 18:10:00,41.45,38.03,42.2019,1576174200,0
"25",2019-12-12 18:20:00,46.46,40.1,48.6446,1576174800,0
"26",2019-12-12 18:30:00,40.63,37.79,39.6597,1576175400,0
"27",2019-12-12 18:40:00,32.98,31.91,32.579,1576176000,0
"28",2019-12-12 19:00:00,35.48,34.46,33.6274,1576177200,0
"29",2019-12-12 19:10:00,33.29,32.44,30.0508,1576177800,0
"30",2019-12-12 19:20:00,30.49,30.93,29.3287,1576178400,0
"31",2019-12-12 19:30:00,31.16,32.52,30.925,1576179000,0
"32",2019-12-12 19:40:00,31.91,31.77,29.7765,1576179600,0
"33",2019-12-12 19:50:00,29.69,29.79,29.7272,1576180200,0
