"","date","V_00","NO_00","NO_01","NO2_00","NO2_01","RH_01","T_01","timestamp","delta_time","delta_RH_01","dRH_01_T0_060","dRH_01_T0_090","dRH_01_T0_120","dRH_01_T0_150","REFNO","REFNO2"
"2","2019-12-12 14:10:00",6.06689453125,8.7432861328125,11.6180419921875,6.8939208984375,-2.5543212890625,58.0357971191406,7.01733923339844,1576159800,600,-0.191497802734375,-0.000319163004557292,-0.000319163004557292,-0.000319163004557292,-0.000319163004557292,25.9021,21.4828
"3","2019-12-12 14:20:00",6.06689453125,8.1207275390625,9.8968505859375,5.767822265625,-3.424072265625,55.7544174194336,6.94762609863281,1576160400,600,-2.28137969970703,-0.00407246515013065,-0.00408789910446219,-0.00409594363921097,-0.00410087871963874,22.5316,18.5078
"4","2019-12-12 14:30:00",6.06689453125,9.063720703125,9.4573974609375,5.96923828125,-3.277587890625,55.2194061279297,6.81195361328125,1576161000,600,-0.535011291503906,-0.00433895281067935,-0.00454969832768286,-0.0046601355537324,-0.00472808617282941,25.2069,22.5377
"5","2019-12-12 14:40:00",6.06689453125,7.4432373046875,9.77783203125,7.159423828125,-2.4261474609375,58.5280838012695,6.55616003417969,1576161600,600,3.30867767333984,0.00184161852949691,0.00144321384564453,0.00122693110127272,0.00109130514838642,24.7012,21.814
"7","2019-12-12 15:00:00",6.0333251953125,18.218994140625,21.78955078125,10.162353515625,-0.091552734375,60.7634963989258,5.94804699707031,1576162800,600,0.371932983398438,0.00456846804114054,0.00455471498714565,0.00451593641204718,0.00448046644713641,31.8217,29.2972
"8","2019-12-12 15:10:00",6.03271484375,12.8814697265625,15.7928466796875,9.0087890625,-0.970458984375,60.7764663696289,5.72174743652343,1576163400,600,0.012969970703125,0.00388874132541083,0.00409735466522013,0.00417647869056373,0.00421312427533445,36.954,28.5751
"9","2019-12-12 15:20:00",6.05804443359375,9.1461181640625,11.75537109375,7.0404052734375,-2.45361328125,59.1554107666016,5.38042120361328,1576164000,600,-1.62105560302734,0.000589989126408266,0.000964714710992843,0.00114078655369265,0.00123964785000274,24.644,20.1291
"10","2019-12-12 15:30:00",6.060791015625,12.48779296875,16.058349609375,9.1552734375,-1.007080078125,60.0037994384766,4.97876629638672,1576164600,600,0.848388671875,0.00191339613318044,0.00227724577269727,0.00246355541680082,0.00257368034244866,36.7554,34.6349
"11","2019-12-12 15:40:00",6.060791015625,15.9576416015625,19.1436767578125,11.2152099609375,0.7965087890625,61.7862167358398,4.52804406738281,1576165200,600,1.78241729736328,0.00459035035481908,0.00500846454706431,0.00523727589696288,0.00537839143320476,52.2163,42.0784
"12","2019-12-12 15:50:00",6.060791015625,21.7437744140625,25.0946044921875,13.1011962890625,2.34375,63.1497802734375,4.07946685791016,1576165800,600,1.36356353759766,0.00615825358219559,0.00675437688958011,0.00709113233286957,0.00730412864999336,78.9598,51.0641
"13","2019-12-12 16:00:00",6.060791015625,17.0745849609375,20.1873779296875,12.2406005859375,1.1444091796875,64.2238082885742,3.67271752929687,1576166400,600,1.07402801513672,0.00700289580646526,0.00783412869327317,0.00831420338814858,0.00862311006353288,54.2376,44.9631
"14","2019-12-12 16:10:00",6.060791015625,20.3338623046875,23.8037109375,12.835693359375,2.0416259765625,66.0401763916016,3.24639489746093,1576167000,600,1.81636810302734,0.0089551034931982,0.0100375665394367,0.0106767165610705,0.0110942598688437,70.717,46.5153
"15","2019-12-12 16:20:00",6.060791015625,19.7296142578125,22.7508544921875,13.4124755859375,2.3345947265625,66.9976654052734,2.89005352783203,1576167600,600,0.957489013671875,0.00917614647428283,0.0105778242074147,0.0114188684613798,0.0119745726238457,67.6865,52.3401
"16","2019-12-12 16:30:00",6.060791015625,16.66259765625,19.940185546875,12.359619140625,1.6021728515625,67.9370346069336,2.61441851806641,1576168200,600,0.939369201660156,0.00933305563150012,0.0110310683232458,0.0120714814853797,0.0127679116684763,57.5391,44.1281
"17","2019-12-12 16:40:00",6.05743408203125,21.7803955078125,25.067138671875,12.945556640625,2.01416015625,69.0864028930664,2.38356079101562,1576168800,600,1.14936828613281,0.00981587483967363,0.0117866474523272,0.0130219129271462,0.0138600843603476,76.776,51.3931
"18","2019-12-12 16:50:00",6.0546875,23.126220703125,27.264404296875,11.4898681640625,2.069091796875,71.454948425293,2.15618872070312,1576169400,600,2.36854553222656,0.0122565345526416,0.0144947314408166,0.0159283141434545,0.0169137816192769,75.0825,45.5867
"19","2019-12-12 17:00:00",6.0546875,18.658447265625,22.30224609375,8.8897705078125,0.128173828125,72.7469863891602,1.96501385498047,1576170000,600,1.29203796386719,0.0125283291157468,0.0151238521863534,0.0168081530685919,0.0179763574545783,54.8805,38.733
"20","2019-12-12 17:10:00",6.0546875,13.76953125,18.1640625,9.0179443359375,0.0823974609375,72.4358978271484,1.83041387939453,1576170600,600,-0.311088562011719,0.0100865207032084,0.0130149366213518,0.0149457664143065,0.016298527027497,40.7634,35.4452
"21","2019-12-12 17:20:00",6.0546875,13.6322021484375,17.742919921875,9.4207763671875,0.054931640625,73.0464401245117,1.73388800048828,1576171200,600,0.610542297363281,0.00955562593860223,0.0126638474902382,0.0147683394074427,0.0162649563755555,43.0535,34.4466
"22","2019-12-12 17:30:00",6.0546875,18.4478759765625,22.30224609375,11.6729736328125,1.4923095703125,72.5259246826172,1.653181640625,1576171800,600,-0.520515441894531,0.00722113699042663,0.0104645828999153,0.0127200024486769,0.0143484545640758,63.2807,46.9129
