"","date","V_00","NO_00","NO_01","NO2_00","NO2_01","RH_01","T_01","timestamp","delta_time","delta_RH_01","dRH_01_T0_060","dRH_01_T0_090","dRH_01_T0_120","dRH_01_T0_150"
"1",2019-12-12 14:00:00,6.06689453125,7.745361328125,8.4228515625,6.0699462890625,-3.2318115234375,58.227294921875,7.0803491821289,1576159200,NA,NA,0,0,0,0
"2",2019-12-12 14:10:00,6.06689453125,8.7432861328125,11.6180419921875,6.8939208984375,-2.5543212890625,58.0357971191406,7.01733923339844,1576159800,600,-0.191497802734375,-0.000319163004557292,-0.000319163004557292,-0.000319163004557292,-0.000319163004557292
"3",2019-12-12 14:20:00,6.06689453125,8.1207275390625,9.8968505859375,5.767822265625,-3.424072265625,55.7544174194336,6.94762609863281,1576160400,600,-2.28137969970703,-0.00407246515013065,-0.00408789910446219,-0.00409594363921097,-0.00410087871963874
"4",2019-12-12 14:30:00,6.06689453125,9.063720703125,9.4573974609375,5.96923828125,-3.277587890625,55.2194061279297,6.81195361328125,1576161000,600,-0.535011291503906,-0.00433895281067935,-0.00454969832768286,-0.0046601355537324,-0.00472808617282941
"5",2019-12-12 14:40:00,6.06689453125,7.4432373046875,9.77783203125,7.159423828125,-2.4261474609375,58.5280838012695,6.55616003417969,1576161600,600,3.30867767333984,0.00184161852949691,0.00144321384564453,0.00122693110127272,0.00109130514838642
"6",2019-12-12 14:50:00,6.06689453125,NA,NA,NA,NA,60.3915634155273,6.25129913330078,1576162200,600,1.86347961425781,0.00466469578653541,0.00439724384874994,0.00423463046395732,0.00412672294621282
"7",2019-12-12 15:00:00,6.0333251953125,18.218994140625,21.78955078125,10.162353515625,-0.091552734375,60.7634963989258,5.94804699707031,1576162800,600,0.371932983398438,0.00456846804114054,0.00455471498714565,0.00451593641204718,0.00448046644713641
"8",2019-12-12 15:10:00,6.03271484375,12.8814697265625,15.7928466796875,9.0087890625,-0.970458984375,60.7764663696289,5.72174743652343,1576163400,600,0.012969970703125,0.00388874132541083,0.00409735466522013,0.00417647869056373,0.00421312427533445
"9",2019-12-12 15:20:00,6.05804443359375,9.1461181640625,11.75537109375,7.0404052734375,-2.45361328125,59.1554107666016,5.38042120361328,1576164000,600,-1.62105560302734,0.000589989126408266,0.000964714710992843,0.00114078655369265,0.00123964785000274
"10",2019-12-12 15:30:00,6.060791015625,12.48779296875,16.058349609375,9.1552734375,-1.007080078125,60.0037994384766,4.97876629638672,1576164600,600,0.848388671875,0.00191339613318044,0.00227724577269727,0.00246355541680082,0.00257368034244866
